pdb	allele
1k5n	B2709
4u1m	B4201
3czf	B2709
6y26	B2705
6mt3	B1801
6y29	B2709
3mrg	A0201
6mt6	B3701
7kgq	A0201
6mtl	B4405
6joz	A1101
4u1j	B4201
7kgp	A0201
3mrk	A0201
2a83	B2705
3mrb	A0201
1oga	A0201
6vb2	B1502
6pyj	B2705
7m8u	B3501
7m8t	A1101
6o4z	A0201
6j1w	A3001
5eu5	A0201
2gtw	A0201
1uxs	B2705
6v2q	B5703
5def	B2704
1m6o	B4402
4lcy	B4601
6j29	A3003
3kpm	B4402
5wmo	B0702
5vwh	B5801
5txs	B1501
1n2r	B4403
5eo0	B0702
1syv	B4405
1uxw	B2709
5w6a	C0602
2cik	B3501
4u1s	B8101
1xr9	B1501
6uzm	B1502
3lko	B3501
5vwf	B5703
3bp7	B2709
3bo8	A0101
5vue	B5701
5wmn	B0702
4nt6	C0801
3kpq	B4405
3bp4	B2705
3c9n	B1501
6uli	C0802
3lks	B3501
6uzs	B1501
6d2t	B5701
7lfz	B0702
3lv3	B2705
3kpl	B4402
7lgt	B0702
4o2e	B3901
3upr	B5701
3rl1	A0301
6vb3	B1501
6j1v	A3003
4nqx	A0101
3kpn	B4403
4u1l	B8101
4u1k	B0702
5wlg	H2-Db
2bst	B2705
1hsa	B2705
1w0w	B2709
6xqa	A2402
5gsr	H2-Kd
6o9b	A0301
6ujo	A0206
1w0v	B2705
1xr8	B1501
7lg0	B0702
3kpo	B4403
5vgd	C0501
4hwz	A6801
1sys	B4403
3i6l	A2402
1q94	A1101
5bs0	A0101
4n8v	A1101
1a9e	B3501
3bzf	E0101
6pag	C0702
2xpg	A0301
5brz	A0101
6gl1	E0103
4i48	A6802
1im9	C0401
1kpr	E0103
2bck	A2402
3am8	E0101
5w69	C0602
7jyw	A2402
1efx	C0304
3mre	A0201
3d25	A0201
2bvp	B5703
6j2a	A3003
5ib2	B2705
1x7q	A1101
7jyv	A2402
4u1h	B0702
3kla	A0201
2git	A0201
4u1n	B4202
4hx1	A6802
5deg	B2706
5fa3	A0201
3bxn	B1402
3h7b	A0201
3kpp	B4405
5u98	B5701
5vwj	B5801
1vgk	H2-Kd
6gh1	E0103
1jge	B2705
6vb7	B1502
5ind	B5801
1e27	B5101
1i7r	A0201
3bvn	B1402
1qqd	C0401
4qrr	B3501
