,NY-ESO,TAX,Hsiue,Luksza TCR1,Luksza TCR2,Luksza TCR3,Luksza TCR4,Luksza TCR5,Luksza TCR6,Luksza TCR7
BLOSUM62,,,,0.51,0.61,0.65,0.75,0.72,0.69,0.56
Luksza et al. $C/d$,,,,0.62,0.61,0.62,0.68,0.64,0.61,0.57
Luksza et al. $C$,,,,0.77,0.73,0.64,0.69,0.79,0.56,0.75
TCRdock,,,,0.84,0.70,0.64,0.67,0.41,0.60,0.63
TCRdock benchmark,,,,0.44,0.68,0.70,0.60,0.70,0.51,0.63
TULIP,,,,0.80,0.76,0.64,0.64,0.63,0.53,
TAPIR,,,,0.61,0.71,0.58,0.52,0.73,0.60,0.51
NetTCR-2.2,,,,0.56,0.60,0.57,0.66,0.57,0.43,0.37
ESM-IF1,,,,0.63,0.77,0.58,0.45,0.75,0.62,0.58
ProteinMPNN 0.02 Pep 1-by-1 Masked,,,,0.57,0.67,0.41,0.41,0.81,0.63,0.59
ProteinMPNN 0.20 Pep 1-by-1 Masked,,,,0.57,0.73,0.48,0.37,0.77,0.48,0.35
ProteinMPNN 0.02 Pep Full Masked,,,,0.57,0.66,0.41,0.40,0.81,0.63,0.60
ProteinMPNN 0.20 Pep Full Masked,,,,0.56,0.73,0.48,0.38,0.77,0.49,0.35
ProteinMPNN 0.02 TCR Full Masked,,,,0.49,0.56,0.49,0.41,0.62,0.62,0.34
ProteinMPNN 0.20 TCR Full Masked,,,,0.52,0.55,0.60,0.46,0.61,0.54,0.40
ProteinMPNN 0.02 Pep and TCR Full Masked,,,,0.57,0.69,0.46,0.43,0.82,0.67,0.52
ProteinMPNN 0.20 Pep and TCR Full Masked,,,,0.56,0.76,0.51,0.39,0.77,0.50,0.33
HERMES-fixed 0.00,,,,0.61,0.72,0.50,0.40,0.74,0.63,0.46
HERMES-fixed 0.50,,,,0.54,0.71,0.46,0.45,0.69,0.61,0.31
HERMES-relaxed 0.00,,,,0.60,0.62,0.48,0.38,0.73,0.61,0.61
HERMES-relaxed 0.50,,,,0.54,0.60,0.34,0.41,0.66,0.51,0.46
HERMES-relaxed-min_energy 0.00,,,,0.57,0.62,0.50,0.39,0.70,0.67,0.57
HERMES-relaxed-min_energy 0.50,,,,0.54,0.60,0.37,0.43,0.64,0.51,0.43
