,NY-ESO,TAX,Hsiue,Luksza TCR1,Luksza TCR2,Luksza TCR3,Luksza TCR4,Luksza TCR5,Luksza TCR6,Luksza TCR7
BLOSUM62,,,,0.40,0.47,0.97,0.92,0.81,0.89,0.48
Luksza et al. $C/d$,,,,0.59,0.67,0.97,0.82,0.67,0.77,0.47
Luksza et al. $C$,,,,0.95,0.92,0.86,0.86,0.94,0.78,0.81
TCRdock,,,,0.91,0.74,0.81,0.78,0.39,0.78,0.66
TCRdock benchmark,,,,0.56,0.80,0.78,0.58,0.80,0.57,0.66
TULIP,,,,0.87,0.87,0.67,0.58,0.66,0.57,
TAPIR,,,,0.83,0.82,0.54,0.42,0.91,0.55,0.51
NetTCR-2.2,,,,0.45,0.54,0.88,0.65,0.64,0.48,0.24
ESM-IF1,,,,0.77,0.87,0.66,0.41,0.86,0.67,0.59
ProteinMPNN 0.02 Pep 1-by-1 Masked,,,,0.77,0.85,0.61,0.39,0.95,0.83,0.70
ProteinMPNN 0.20 Pep 1-by-1 Masked,,,,0.72,0.87,0.70,0.36,0.90,0.73,0.37
ProteinMPNN 0.02 Pep Full Masked,,,,0.77,0.85,0.60,0.38,0.94,0.82,0.70
ProteinMPNN 0.20 Pep Full Masked,,,,0.73,0.87,0.71,0.36,0.89,0.74,0.37
ProteinMPNN 0.02 TCR Full Masked,,,,0.52,0.62,0.48,0.44,0.79,0.84,0.35
ProteinMPNN 0.20 TCR Full Masked,,,,0.52,0.68,0.65,0.56,0.71,0.75,0.36
ProteinMPNN 0.02 Pep and TCR Full Masked,,,,0.76,0.87,0.61,0.38,0.97,0.88,0.64
ProteinMPNN 0.20 Pep and TCR Full Masked,,,,0.70,0.88,0.68,0.37,0.90,0.74,0.33
HERMES-fixed 0.00,,,,0.81,0.94,0.81,0.49,0.89,0.90,0.43
HERMES-fixed 0.50,,,,0.76,0.90,0.77,0.56,0.73,0.86,0.36
HERMES-relaxed 0.00,,,,0.80,0.86,0.63,0.39,0.89,0.74,0.60
HERMES-relaxed 0.50,,,,0.81,0.81,0.47,0.41,0.78,0.54,0.51
HERMES-relaxed-min_energy 0.00,,,,0.78,0.84,0.59,0.42,0.87,0.83,0.55
HERMES-relaxed-min_energy 0.50,,,,0.80,0.79,0.51,0.42,0.73,0.60,0.47
